,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,1025IIFL30,Y3,      1050.00,                    52500.00,50
,1030SFIL28,NM,       640.25,                    10884.25,17
,1040NFL26,NA,       990.09,                    96235.41,97
,1040UCL27B,N1,      1000.00,                     2991.00,3
,1050IIFL29,ND,      1041.00,                     6246.00,6
,1050NFL26,N7,      1013.00,                     8104.00,8
,1050UCL28,NH,       990.30,                   142000.60,142
,1065NFL27,NC,      1005.00,                   192076.31,192
,1075WCA28,N0,      9501.10,                    57011.10,6
,10IIFL28A,NE,      1058.75,                   420129.27,397
,10IIFL29,N6,      1025.00,                   286113.00,280
,10ISFL26,N3,       976.55,                    39062.00,40
,10NIDO26,N6,      1039.50,                    45499.00,44
,1102NFL26,N8,      1032.21,                     2064.42,2
,1119NFL27,ND,      1085.00,                    27125.00,25
,111ESFB31,N0,    100000.00,                  1100000.00,11
,118VCCL27B,N0,    100387.95,                  2208534.90,22
,12AFIL27A,N0,      9866.00,                   147911.01,15
,12AFIL28,N0,      9754.98,                   146814.90,15
,182D050326,TB,        98.46,                    19689.00,200
,182D140526,TB,        97.36,                    38951.00,400
,20MICRONS,EQ,       191.21,                  7566476.76,39646
,21STCENMGM,EQ,        48.55,                   362629.52,7472
,360ONE,EQ,      1143.20,                406868146.50,356957
,364D031226,TB,        95.25,                    57150.00,600
,3IINFOLTD,EQ,        15.71,                  4961207.13,313882
,3MINDIA,EQ,     35015.00,                 61131540.00,1746
,3PLAND,EQ,        37.57,                   379943.40,10196
,5PAISA,EQ,       308.25,                 16138507.15,52670
,601GS2030,GS,       100.30,                    30090.00,300
,628GS2032,GS,       100.99,                    89580.13,887
,633GS2035,GS,        99.90,                   109891.31,1100
,63MOONS,EQ,       730.65,                 42505341.35,58026
,648GS2035,GS,       100.01,                    87512.35,875
,667GS2035,GS,       103.70,                   315250.05,3177
,667GS2050,GS,        92.50,                  1360042.21,14669
,668GS2040,GS,       100.00,                   202185.00,2000
,675GS2029,GS,       106.40,                      212.80,2
,676GS2061,GS,        93.83,                   172801.16,1835
,679GS2031,GS,       104.50,                    19855.00,190
,679GS2034,GS,       102.85,                      102.85,1
,68GS2060,GS,        93.00,                    52286.00,561
,690GS2065,GS,        94.96,                  1925832.70,20295
,695GS2061,GS,        93.40,                    93920.01,1002
,697GR2034,GS,       102.02,                      408.08,4
,698GR2054,GS,        93.50,                    18702.50,200
,699GS2051,GS,        96.85,                   309240.70,3200
,702GS2027,GS,       101.53,                    73975.68,728
,702GS2031,GS,       102.50,                     1127.60,11
,706GS2028,GS,       104.10,                    93690.00,900
,706GS2046,GS,       102.95,                    51475.00,500
,709GS2054,GS,        99.83,                   487420.56,4873
,709GS2074,GS,        96.17,                  3914703.63,40687
,710GS2029,GS,       104.38,                      104.38,1
,717GS2028,GS,       104.35,                    52383.70,502
,717GS2030,GS,       104.50,                  1259510.00,12100
,718GS2033,GS,       105.75,                   983475.00,9300
,718GS2037,GS,       105.17,                  2090526.17,19875
,71MH33,SG,        95.00,                     9500.00,100
