SYMBOL,SYMBOL P/E,ADJUSTED P/E
ZEELEARN,20.67,10.98
A2ZINFRA,112.89,61.52
KIRLOSENG,41.06,43.25
RKDL,454.19,454.19
PSB,17.28,17.28
FMNL,,32.04
SHEKHAWATI,9.92,9.92
BFINVEST,62.22,62.22
KICL,33.40,42.74
SUMMITSEC,24.99,24.99
STEL,64.11,64.11
TEXRAIL,25.82,25.82
HFCL,284.26,285.96
DHUNINV,169.99,184.42
LOVABLE,44.34,40.42
PFS,6.82,6.82
MUTHOOTFIN,24.66,24.66
VADILALIND,25.66,25.66
SYMPHONY,36.02,27.35
PIIND,30.28,30.28
RELAXO,57.12,57.12
OMINFRAL,42.07,42.07
VSTTILLERS,43.38,43.14
ESTER,45.74,44.82
DELPHIFX,232.26,29.55
KARMAENG,47.53,96.30
ASHIANA,80.55,71.04
DHANUKA,17.49,17.49
MAITHANALL,3.80,3.80
RUSHIL,32.21,35.24
INVENTURE,87.35,95.00
LTF,28.41,28.41
BODALCHEM,22.35,21.43
ASAHISONG,22.64,22.64
FILATEX,15.72,15.72
BROOKS,48.42,48.42
TDPOWERSYS,59.15,59.15
APLLTD,27.70,28.17
VASWANI,17.18,13.89
PGEL,58.91,58.91
PANAMAPET,9.22,9.22
PAISALO,16.08,16.13
SHAKTIPUMP,21.16,21.16
TRITURBINE,48.81,48.81
INDOTHAI,407.16,407.16
ESSARSHPNG,0.79,4.12
DSSL,16.48,16.48
JISLDVREQS,1.99,1.99
POLYMED,53.28,53.28
RUPA,16.42,16.16
VIKASECO,16.77,16.77
APLAPOLLO,61.16,61.16
KANANIIND,40.70,40.70
MINDACORP,62.22,62.22
THOMASCOTT,36.12,36.12
DBSTOCKBRO,18.10,18.10
IRFC,21.76,21.76
COMPUSOFT,36.12,36.12
RHIM,55.23,55.23
SCHNEIDER,63.42,66.87
NDL,11.43,11.43
NBCC,50.54,45.04
TBZ,14.42,14.42
VSSL,32.95,32.95
SWANCORP,23.52,23.39
SPECIALITY,28.39,28.39
CINELINE,,21.63
SAMPANN,20.86,
THEJO,33.17,33.17
KITEX,28.91,28.91
MAYURUNIQ,13.80,13.80
ROSSELLIND,9.45,9.40
DUCON,8.22,8.22
TVSHLTD,10.77,10.77
ZUARI,11.38,11.38
VETO,10.31,10.31
CARERATING,31.53,31.53
PCJEWELLER,13.00,13.00
INDUSTOWER,11.03,11.03
VMART,89.55,162.50
REPCOHOME,5.53,5.53
NIBL,3.31,
