Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-DEC-2025,505890,2177.00,2186.55,-0.0044,0.0244,0.0243,0.4643
18-DEC-2025,505893,914.00,935.30,-0.0230,0.0346,0.0346,0.6610
18-DEC-2025,505978,3070.40,3202.60,-0.0422,0.0277,0.0278,0.5311
18-DEC-2025,506003,70.30,67.01,0.0479,0.0326,0.0327,0.6247
18-DEC-2025,506042,179.25,179.25,0.0000,0.0574,0.0572,1.0928
18-DEC-2025,506105,65.66,68.47,-0.0419,0.0320,0.0320,0.6114
18-DEC-2025,506122,45.52,46.02,-0.0109,0.0347,0.0346,0.6610
18-DEC-2025,506128,126.20,128.65,-0.0192,0.0312,0.0312,0.5961
18-DEC-2025,506134,14.50,14.25,0.0174,0.0320,0.0320,0.6114
18-DEC-2025,506161,4.78,4.78,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,506166,55.95,53.30,0.0485,0.2216,0.2210,4.2222
18-DEC-2025,506178,17.01,17.01,0.0000,0.0016,0.0015,0.0287
18-DEC-2025,506180,552.50,552.50,0.0000,0.0306,0.0305,0.5827
18-DEC-2025,506186,14.97,15.70,-0.0476,0.0359,0.0360,0.6878
18-DEC-2025,506190,52.50,52.50,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,506365,107.95,116.85,-0.0792,0.0414,0.0417,0.7967
18-DEC-2025,506414,349.90,350.25,-0.0010,0.0324,0.0323,0.6171
18-DEC-2025,506520,7.09,7.00,0.0128,0.0276,0.0276,0.5273
18-DEC-2025,506528,3922.60,3860.90,0.0159,0.0284,0.0284,0.5426
18-DEC-2025,506530,1167.95,1167.95,0.0000,0.0257,0.0256,0.4891
18-DEC-2025,506532,816.95,828.60,-0.0142,0.0198,0.0197,0.3764
18-DEC-2025,506543,9.90,9.90,0.0000,0.0336,0.0336,0.6419
18-DEC-2025,506579,130.80,135.75,-0.0371,0.0329,0.0329,0.6286
18-DEC-2025,506597,667.15,656.70,0.0158,0.0350,0.0349,0.6668
18-DEC-2025,506605,2100.00,2064.85,0.0169,0.0322,0.0321,0.6133
18-DEC-2025,506640,280.05,285.00,-0.0175,0.0348,0.0347,0.6629
18-DEC-2025,506685,422.75,431.70,-0.0209,0.0224,0.0224,0.4280
18-DEC-2025,506687,1200.85,1203.10,-0.0019,0.0223,0.0223,0.4260
18-DEC-2025,506734,105.10,105.00,0.0010,0.0238,0.0237,0.4528
18-DEC-2025,506808,47.89,48.51,-0.0129,0.0263,0.0263,0.5025
18-DEC-2025,506854,4227.65,4276.10,-0.0114,0.0301,0.0301,0.5751
18-DEC-2025,506858,62.00,60.01,0.0326,0.0288,0.0288,0.5502
18-DEC-2025,506863,158.35,155.25,0.0198,0.0210,0.0210,0.4012
18-DEC-2025,506906,27.08,26.55,0.0198,0.0573,0.0572,1.0928
18-DEC-2025,506919,121.00,121.25,-0.0021,0.0325,0.0324,0.6190
18-DEC-2025,506935,68.00,68.00,0.0000,0.0263,0.0262,0.5006
18-DEC-2025,506945,2.15,2.15,0.0000,0.0047,0.0047,0.0898
18-DEC-2025,506947,199.95,199.95,0.0000,0.0243,0.0242,0.4623
18-DEC-2025,506975,9.77,9.33,0.0461,0.0275,0.0276,0.5273
18-DEC-2025,506979,98.39,103.55,-0.0511,0.0317,0.0319,0.6094
18-DEC-2025,506981,138.90,136.10,0.0204,0.0298,0.0297,0.5674
18-DEC-2025,507155,139.95,141.35,-0.0100,0.0288,0.0287,0.5483
18-DEC-2025,507180,6.67,6.85,-0.0266,0.0416,0.0415,0.7929
18-DEC-2025,507265,203.35,210.05,-0.0324,0.0310,0.0310,0.5923
18-DEC-2025,507300,930.85,954.00,-0.0246,0.0256,0.0256,0.4891
18-DEC-2025,507474,43.70,44.00,-0.0068,0.0314,0.0313,0.5980
18-DEC-2025,507486,56.01,57.00,-0.0175,0.0323,0.0322,0.6152
18-DEC-2025,507498,40.30,40.81,-0.0126,0.0237,0.0237,0.4528
18-DEC-2025,507515,16.50,15.85,0.0402,0.0330,0.0330,0.6305
18-DEC-2025,507530,21.03,21.03,0.0000,0.0042,0.0042,0.0802
18-DEC-2025,507598,100.95,100.65,0.0030,0.0325,0.0325,0.6209
18-DEC-2025,507609,26.59,26.59,0.0000,0.0311,0.0310,0.5923
18-DEC-2025,507621,60.95,60.77,0.0030,0.0216,0.0215,0.4108
18-DEC-2025,507645,11308.00,11308.00,0.0000,0.0210,0.0209,0.3993
18-DEC-2025,507663,3.42,3.42,0.0000,0.0085,0.0085,0.1624
18-DEC-2025,507690,180.00,179.00,0.0056,0.0296,0.0295,0.5636
18-DEC-2025,507753,114.40,114.70,-0.0026,0.0250,0.0249,0.4757
18-DEC-2025,507759,12.15,12.73,-0.0466,0.0414,0.0415,0.7929
18-DEC-2025,507808,36.45,36.45,0.0000,0.0226,0.0226,0.4318
18-DEC-2025,507813,88.45,90.70,-0.0251,0.0295,0.0295,0.5636
18-DEC-2025,507817,175.00,181.00,-0.0337,0.0326,0.0326,0.6228
18-DEC-2025,507828,9.56,9.64,-0.0083,0.0314,0.0313,0.5980
18-DEC-2025,507833,4.50,4.59,-0.0198,0.0262,0.0261,0.4986
18-DEC-2025,507836,686.65,682.35,0.0063,0.0256,0.0255,0.4872
18-DEC-2025,507852,107.00,107.80,-0.0074,0.0319,0.0318,0.6075
18-DEC-2025,507864,106.89,109.24,-0.0217,0.0412,0.0411,0.7852
18-DEC-2025,507872,44.30,44.86,-0.0126,0.0268,0.0267,0.5101
18-DEC-2025,507912,874.25,858.00,0.0188,0.0305,0.0305,0.5827
18-DEC-2025,507917,64.99,65.52,-0.0081,0.0303,0.0303,0.5789
18-DEC-2025,507938,9.52,9.52,0.0000,0.0182,0.0182,0.3477
18-DEC-2025,507944,507.45,504.35,0.0061,0.0312,0.0311,0.5942
18-DEC-2025,507946,20.75,21.16,-0.0196,0.0354,0.0353,0.6744
18-DEC-2025,507948,85.95,88.95,-0.0343,0.0324,0.0324,0.6190
18-DEC-2025,507952,3.15,3.15,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,507960,209.25,216.05,-0.0320,0.0278,0.0278,0.5311
18-DEC-2025,507962,71.16,69.77,0.0197,0.0415,0.0414,0.7909
18-DEC-2025,507966,41.78,41.49,0.0070,0.0396,0.0395,0.7546
18-DEC-2025,507968,65.80,69.25,-0.0511,0.0156,0.0160,0.3057
18-DEC-2025,507970,36.50,37.45,-0.0257,0.0378,0.0377,0.7203
18-DEC-2025,507981,76.56,77.90,-0.0174,0.0248,0.0248,0.4738
18-DEC-2025,507984,769.85,754.80,0.0197,0.0204,0.0204,0.3897
18-DEC-2025,507987,3.99,3.99,0.0000,0.0052,0.0052,0.0993
18-DEC-2025,507998,121.90,126.90,-0.0402,0.0341,0.0341,0.6515
18-DEC-2025,508136,395.20,415.00,-0.0489,0.0327,0.0328,0.6266
18-DEC-2025,508486,8124.00,8117.50,0.0008,0.0146,0.0145,0.2770
18-DEC-2025,508494,44.48,45.00,-0.0116,0.0244,0.0244,0.4662
18-DEC-2025,508571,140.00,140.00,0.0000,0.0358,0.0357,0.6820
18-DEC-2025,508664,10.22,11.06,-0.0790,0.0304,0.0308,0.5884
18-DEC-2025,508670,3600.00,3579.50,0.0057,0.0189,0.0189,0.3611
18-DEC-2025,508807,750.80,768.60,-0.0234,0.0180,0.0180,0.3439
18-DEC-2025,508867,9.10,9.10,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,508875,511.00,511.95,-0.0019,0.0308,0.0307,0.5865
18-DEC-2025,508905,103.40,100.35,0.0299,0.0359,0.0358,0.6840
18-DEC-2025,508918,46.77,47.75,-0.0207,0.0385,0.0385,0.7355
18-DEC-2025,508922,3.20,3.14,0.0189,0.0338,0.0337,0.6438
18-DEC-2025,508941,484.65,488.45,-0.0078,0.0160,0.0159,0.3038
18-DEC-2025,508956,13.37,12.75,0.0475,0.0333,0.0334,0.6381
18-DEC-2025,508961,176.35,179.95,-0.0202,0.0248,0.0248,0.4738
18-DEC-2025,508963,16.40,16.40,0.0000,0.0313,0.0312,0.5961
18-DEC-2025,508969,2.35,2.33,0.0085,0.0274,0.0273,0.5216
18-DEC-2025,508980,5.70,5.93,-0.0396,0.0368,0.0368,0.7031
18-DEC-2025,508993,2.45,2.45,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,509003,0.13,0.13,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,509015,12.60,12.67,-0.0055,0.0348,0.0347,0.6629
18-DEC-2025,509024,12.04,12.15,-0.0091,0.0797,0.0795,1.5188
18-DEC-2025,509026,89.60,96.00,-0.0690,0.0375,0.0377,0.7203
18-DEC-2025,509038,10.97,11.18,-0.0190,0.0153,0.0153,0.2923
18-DEC-2025,509040,145.15,142.20,0.0205,0.0296,0.0296,0.5655
18-DEC-2025,509046,84.45,88.85,-0.0508,0.0261,0.0263,0.5025
18-DEC-2025,509051,0.72,0.73,-0.0138,0.0377,0.0376,0.7183
18-DEC-2025,509053,8.01,8.12,-0.0136,0.0267,0.0267,0.5101
18-DEC-2025,509073,13.78,13.75,0.0022,0.0276,0.0275,0.5254
18-DEC-2025,509084,96.95,96.95,0.0000,0.0230,0.0230,0.4394
18-DEC-2025,509162,122.35,123.00,-0.0053,0.0270,0.0270,0.5158
18-DEC-2025,509196,79.09,79.22,-0.0016,0.0285,0.0285,0.5445
18-DEC-2025,509423,36.23,34.67,0.0440,0.0375,0.0375,0.7164
18-DEC-2025,509438,9402.70,9453.35,-0.0054,0.0196,0.0195,0.3725
18-DEC-2025,509449,42.10,44.89,-0.0642,0.0329,0.0331,0.6324
18-DEC-2025,509470,23082.00,23803.60,-0.0308,0.0269,0.0269,0.5139
18-DEC-2025,509472,381.55,384.90,-0.0087,0.0285,0.0284,0.5426
18-DEC-2025,509486,88.13,92.88,-0.0525,0.0277,0.0278,0.5311
18-DEC-2025,509525,962.15,965.80,-0.0038,0.0224,0.0223,0.4260
18-DEC-2025,509546,33.81,34.40,-0.0173,0.0381,0.0380,0.7260
18-DEC-2025,509563,27.16,27.95,-0.0287,0.0319,0.0319,0.6094
18-DEC-2025,509597,729.30,708.45,0.0290,0.0313,0.0313,0.5980
18-DEC-2025,509650,38.74,38.74,0.0000,0.0009,0.0009,0.0172
18-DEC-2025,509732,205.40,216.20,-0.0512,0.0269,0.0271,0.5177
18-DEC-2025,509760,40.50,41.99,-0.0361,0.0349,0.0349,0.6668
18-DEC-2025,509762,63.56,60.54,0.0487,0.0093,0.0099,0.1891
18-DEC-2025,509782,17.95,17.95,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,509835,21.55,22.85,-0.0586,0.0444,0.0445,0.8502
18-DEC-2025,509845,555.00,555.00,0.0000,0.0205,0.0205,0.3917
18-DEC-2025,509870,60.74,60.74,0.0000,0.0040,0.0040,0.0764
18-DEC-2025,509887,818.35,818.35,0.0000,0.0282,0.0281,0.5368
18-DEC-2025,509895,176.15,175.50,0.0037,0.0252,0.0252,0.4814
