MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,ITC,ITC LTD,       402.30,       401.40,       405.75,       401.05,       401.70,               4977388189.80,12347384,Y, ,120140,       471.50,       390.15
N,EQ,JIOFIN,JIO FIN SERVICES LTD,       299.60,       298.05,       298.75,       294.50,       295.25,               2111641572.25,7141463,Y, ,86391,       342.45,       198.65
N,EQ,JSWSTEEL,JSW STEEL LIMITED,      1114.80,      1114.00,      1114.00,      1080.50,      1082.60,               2177191987.00,2000325,Y, ,50863,      1223.90,       880.00
N,EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD,      2181.30,      2178.00,      2194.00,      2171.50,      2182.40,               3729354003.20,1708919,Y, ,85749,      2301.90,      1723.75
N,EQ,LT,LARSEN & TOUBRO LTD.,      4092.30,      4083.70,      4103.80,      4051.20,      4063.80,               8936379899.40,2199214,Y, ,90672,      4140.00,      2965.30
N,EQ,M&M,MAHINDRA & MAHINDRA LTD,      3608.00,      3581.00,      3633.50,      3577.90,      3621.00,               5044617192.80,1394406,Y, ,108047,      3795.00,      2425.00
N,EQ,MARUTI,MARUTI SUZUKI INDIA LTD.,     16415.00,     16400.00,     16451.00,     16320.00,     16354.00,               2557303075.00,156134,Y, ,34270,     16660.00,     10725.00
N,EQ,MAXHEALTH,MAX HEALTHCARE INS LTD,      1085.40,      1089.00,      1091.30,      1068.30,      1073.00,               1558394981.60,1444588,Y, ,64942,      1314.30,       940.05
N,EQ,NESTLEIND,NESTLE INDIA LIMITED,      1243.50,      1236.50,      1264.00,      1234.40,      1240.60,               1355232971.40,1086329,Y, ,58626,      2515.00,      1084.70
N,EQ,NTPC,NTPC LTD,       323.95,       322.05,       323.80,       319.05,       321.00,               1682994021.60,5241263,Y, ,94764,       371.45,       292.80
N,EQ,ONGC,OIL AND NATURAL GAS CORP.,       235.35,       234.17,       235.30,       230.75,       232.21,               1681671561.79,7238404,Y, ,90675,       273.50,       205.00
N,EQ,POWERGRID,POWER GRID CORP. LTD.,       262.20,       262.15,       263.35,       259.70,       260.35,               2415243086.45,9241981,Y, ,100354,       336.25,       247.30
N,EQ,RELIANCE,RELIANCE INDUSTRIES LTD,      1556.20,      1545.00,      1551.70,      1538.80,      1542.30,              18117538818.10,11731856,Y, ,246980,      1581.30,      1114.85
N,EQ,SBILIFE,SBI LIFE INSURANCE CO LTD,      2034.90,      2034.90,      2052.20,      2021.00,      2036.00,               1665864793.10,815797,Y, ,70869,      2086.60,      1372.55
N,EQ,SBIN,STATE BANK OF INDIA,       967.25,       966.05,       969.00,       958.05,       961.15,               4590446166.50,4764786,Y, ,161741,       999.00,       680.00
N,EQ,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,       855.35,       855.35,       856.65,       843.00,       848.40,               4399717044.45,5171831,Y, ,99888,      3197.00,       493.35
N,EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L,      1797.10,      1790.00,      1791.90,      1778.30,      1781.30,               2737881656.50,1533979,Y, ,86772,      1910.00,      1548.00
N,EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD,      1157.40,      1157.40,      1176.70,      1153.40,      1169.90,               1382625836.00,1181775,Y, ,49423,      1202.80,       882.90
N,EQ,TATASTEEL,TATA STEEL LIMITED,       172.87,       172.70,       172.70,       169.25,       169.83,               3911860834.36,22981935,Y, ,203504,       186.94,       122.62
