MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        30.59,        30.63,        30.63,        30.15,        30.32,                   563887.62,18613,230,        32.10,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        87.99,        88.42,        88.42,        87.30,        87.39,                   114415.27,1308,34,        91.35,        74.00,AXIS S&P BSE SENSEX ETF
N,EQ,BANKADD,DSPAMC - DSPBANK,        60.59,        60.88,        60.88,        60.22,        60.27,                    21915.32,363,58,        61.84,        46.50,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       613.39,       612.38,       613.21,       609.00,       609.73,                250768954.71,410928,11979,       624.70,       490.00,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        60.24,        60.30,        60.30,        59.81,        59.87,                   383980.63,6406,200,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       603.66,       602.41,       602.41,       598.85,       599.37,                  4092934.05,6822,84,       610.16,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        60.79,        60.60,        60.76,        60.40,        60.40,                 76497055.97,1265601,8015,        62.88,        47.53,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       614.52,       613.19,       613.50,       610.01,       610.75,                 28928216.87,47307,900,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        83.22,        83.63,        83.63,        82.23,        82.35,                   647152.61,7837,97,        88.74,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1309.82,      1308.78,      1308.79,      1304.57,      1308.78,                   970643.04,742,37,      1323.24,      1205.00,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        59.75,        59.77,        59.77,        59.19,        59.58,                    78250.31,1316,40,        62.00,        47.43,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       129.40,       130.00,       130.00,       127.20,       128.20,                  3267185.85,25490,153,       130.50,        73.55,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        28.49,        28.63,        28.63,        28.28,        28.32,                  7731056.56,272216,763,        29.38,        22.30,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        40.15,        40.12,        40.12,        39.76,        39.93,                 16216489.99,406551,1199,        41.51,        33.00,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       117.89,       117.77,       117.77,       115.62,       116.44,                 71811515.31,616888,1602,       121.47,        66.45,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        30.31,        29.99,        31.06,        29.99,        30.10,                  4356381.25,144527,3470,        31.18,        20.37,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        85.14,        86.87,        86.87,        84.71,        84.94,                   275311.35,3238,90,        87.82,        61.64,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1041.11,      1041.26,      1041.28,      1041.26,      1041.27,                 95227989.04,91453,48,      1064.57,      1001.47,BSE LIQUID RATE INDEX
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        28.71,        28.86,        28.86,        28.48,        28.51,                 13897515.79,485795,1413,        30.00,        27.65,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       132.60,       132.60,       132.60,       130.34,       131.25,                 13264415.28,100703,418,       133.14,       120.00,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        94.27,        94.28,        94.28,        92.90,        93.36,                  7315730.45,78404,1374,        96.83,        75.61,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       125.23,       125.40,       125.40,       124.53,       125.01,                 20415960.40,163036,41,       132.00,       102.46,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       135.68,       136.72,       137.08,       135.23,       135.66,                 14823152.83,109149,990,       144.38,       110.86,NIFTY INDIA CONSUMPTION TRI
