Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
18-DEC-2025,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,197705578,123027300,76188855.452877
18-DEC-2025,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,28450886,23226300,9757634.861397
18-DEC-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,982526,347150,206694.998526
18-DEC-2025,INE200M01039,VARUN BEVERAGES LIMITED,VBL,203804339,76815300,45834330.0464335
18-DEC-2025,INE721A01047,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,210459276,97284000,59455770.17640975
18-DEC-2025,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,93805784,70035700,43602380.70804
18-DEC-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,18495534,13198800,6749126.81868675
18-DEC-2025,INE405E01023,UNO MINDA LIMITED,UNOMINDA,22813802,8750500,4262441.7523435
18-DEC-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15240043,6847375,3357757.8973
18-DEC-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65659712,27497250,18273888.3428875
18-DEC-2025,INE226A01021,VOLTAS LTD,VOLTAS,34594689,17704500,9028505.84077875
18-DEC-2025,INE347G01014,PETRONET LNG LIMITED,PETRONET,93668136,80364800,37795150.060457
18-DEC-2025,INE670K01029,LODHA DEVELOPERS LIMITED,LODHA,42060143,20310300,12364583.5066185
18-DEC-2025,INE040A01034,HDFC BANK LTD,HDFCBANK,1329733550,295529850,219017954.232022
18-DEC-2025,INE090A01021,ICICI BANK LTD.,ICICIBANK,579785172,182181300,115539486.99244
18-DEC-2025,INE591G01025,COFORGE LIMITED,COFORGE,50163899,22693125,12900608.50398375
18-DEC-2025,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,119296253,58216400,31012158.693967
18-DEC-2025,INE118H01025,BSE LIMITED,BSE,48385387,30637875,11676514.06986375
18-DEC-2025,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425041,4874350,2273593.09452275
18-DEC-2025,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,32732860,34948950,12030404.2942095
18-DEC-2025,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,133395043,134872500,53238113.540775
