INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,CHOLAFIN  ,27/01/2026,00001722.90,00001741.30,00001677.00,00001684.80,000000000796250,      667599937.50,           392500,              628,              459
FUTSTK    ,CHOLAFIN  ,24/02/2026,00001732.00,00001732.00,00001678.40,00001681.80,000000000035000,       11674312.50,             6875,              011,              011
FUTSTK    ,CIPLA     ,30/12/2025,00001500.40,00001505.40,00001492.60,00001498.50,000000012804750,     1503306975.00,          1004625,             2679,             1836
FUTSTK    ,CIPLA     ,27/01/2026,00001514.30,00001514.30,00001502.00,00001508.80,000000001317000,      608360475.00,           404250,             1078,              298
FUTSTK    ,CIPLA     ,24/02/2026,00001521.00,00001521.00,00001511.00,00001517.00,000000000064875,       11928150.00,             7875,              021,              020
FUTSTK    ,COALINDIA ,30/12/2025,00000381.15,00000386.25,00000381.15,00000385.85,000000049061700,     1358523022.50,          3531600,             2616,             2238
FUTSTK    ,COALINDIA ,27/01/2026,00000383.95,00000388.30,00000383.80,00000388.00,000000006578550,      335264265.00,           866700,              642,              415
FUTSTK    ,COALINDIA ,24/02/2026,00000384.25,00000386.50,00000384.25,00000386.30,000000000518400,       17693370.00,            45900,              034,              034
FUTSTK    ,COFORGE   ,30/12/2025,00001870.00,00001894.10,00001848.00,00001851.50,000000011793750,     3814416750.00,          2038875,             5437,             4724
FUTSTK    ,COFORGE   ,27/01/2026,00001870.00,00001900.00,00001855.30,00001858.20,000000000634875,      470654850.00,           250500,              668,              611
FUTSTK    ,COFORGE   ,24/02/2026,00001888.00,00001896.30,00001858.20,00001858.60,000000000065250,       57126787.50,            30375,              081,              064
FUTSTK    ,COLPAL    ,30/12/2025,00002121.00,00002149.00,00002078.80,00002089.70,000000006361650,     2849743417.50,          1350900,             6004,             4216
FUTSTK    ,COLPAL    ,27/01/2026,00002160.00,00002160.00,00002091.00,00002101.30,000000000781650,     1289898045.00,           608850,             2706,             1506
FUTSTK    ,COLPAL    ,24/02/2026,00002160.00,00002169.20,00002106.00,00002112.70,000000000061650,       83651827.50,            39150,              174,              159
FUTSTK    ,CONCOR    ,30/12/2025,00000501.10,00000503.00,00000495.40,00000496.75,000000037133750,     1003537125.00,          2013750,             1611,             1397
FUTSTK    ,CONCOR    ,27/01/2026,00000504.30,00000506.20,00000498.30,00000499.85,000000003053750,      273434625.00,           545000,              436,              339
FUTSTK    ,CONCOR    ,24/02/2026,00000505.25,00000506.50,00000499.15,00000500.20,000000000483750,       60280125.00,           120000,              096,              084
FUTSTK    ,CROMPTON  ,30/12/2025,00000253.30,00000254.15,00000248.35,00000249.50,000000053247600,      960509430.00,          3834000,             2130,             1783
FUTSTK    ,CROMPTON  ,27/01/2026,00000254.45,00000255.60,00000250.00,00000251.05,000000003520800,      163880370.00,           649800,              361,              330
FUTSTK    ,CROMPTON  ,24/02/2026,00000256.95,00000256.95,00000251.50,00000252.25,000000000813600,       26468730.00,           104400,              058,              056
FUTSTK    ,CUMMINSIND,30/12/2025,00004504.60,00004549.70,00004500.50,00004521.10,000000002842600,     1142126460.00,           252400,             1262,             1062
FUTSTK    ,CUMMINSIND,27/01/2026,00004525.70,00004571.00,00004525.70,00004550.40,000000000074600,      106504540.00,            23400,              117,              083
FUTSTK    ,CUMMINSIND,24/02/2026,00004545.00,00004563.70,00004545.00,00004563.70,000000000008800,        3646600.00,              800,              004,              004
FUTSTK    ,CYIENT    ,30/12/2025,00001142.70,00001153.50,00001128.00,00001142.30,000000003206625,     2794372960.00,          2452250,             5770,             4815
FUTSTK    ,DABUR     ,30/12/2025,00000498.20,00000500.55,00000493.45,00000494.50,000000018112500,      831170187.50,          1675000,             1340,             1246
FUTSTK    ,DABUR     ,27/01/2026,00000500.00,00000503.40,00000496.25,00000497.45,000000001097500,      171632375.00,           343750,              275,              256
FUTSTK    ,DABUR     ,24/02/2026,00000505.25,00000505.25,00000500.00,00000500.75,000000000116250,        8158187.50,            16250,              013,              013
FUTSTK    ,DALBHARAT ,30/12/2025,00002071.10,00002085.70,00002052.70,00002077.60,000000002236975,      885482455.00,           427700,             1316,             1225
FUTSTK    ,DALBHARAT ,27/01/2026,00002082.70,00002099.20,00002064.60,00002091.20,000000000227500,      380536000.00,           182650,              562,              499
FUTSTK    ,DELHIVERY ,30/12/2025,00000403.65,00000406.00,00000397.00,00000400.30,000000015523075,      770797552.50,          1923525,              927,              869
