INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00060900.00,CE      ,00000054.70,00000057.35,00000039.80,00000043.50,000000000124005,           302015,             8629,             5945,    18406468367.00,       13754867.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060900.00,PE      ,00001720.45,00001886.95,00001720.45,00001841.20,000000000022120,              770,              022,              019,       48287375.50,        1394375.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00061100.00,CE      ,00000046.65,00000046.65,00000032.15,00000034.70,000000000126805,           347515,             9929,             6552,    21245602502.25,       12436002.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061100.00,PE      ,00001893.00,00002044.20,00001893.00,00002044.20,000000000011830,              455,              013,              010,       28713343.75,         912843.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00061300.00,CE      ,00000035.90,00000036.00,00000026.65,00000028.65,000000000149695,           243600,             6960,             3969,    14939779786.75,        7099786.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00061300.00,PE      ,00002200.00,00002210.65,00002200.00,00002210.65,000000000002905,              175,              005,              004,       11113982.25,         386482.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061500.00,CE      ,00000027.65,00000029.00,00000022.15,00000024.15,000000000501270,          1004955,            28713,            12272,    61828839833.25,       24107333.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061500.00,PE      ,00002300.00,00002455.65,00002240.00,00002393.00,000000000017150,             1925,              055,              033,      123022660.25,        4635160.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061700.00,CE      ,00000025.00,00000025.00,00000019.30,00000020.95,000000000059570,           104055,             2973,             1720,     6422335218.25,        2141718.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061900.00,CE      ,00000018.10,00000019.35,00000016.75,00000018.30,000000000044555,            69615,             1989,             1307,     4310418717.50,        1250217.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00062100.00,CE      ,00000018.45,00000018.45,00000014.90,00000016.55,000000000038010,            84630,             2418,             1347,     5256871357.50,        1348357.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00062300.00,CE      ,00000015.95,00000015.95,00000013.55,00000015.25,000000000055720,            56000,             1600,             1003,     3489620821.75,         820821.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00062500.00,CE      ,00000014.60,00000014.65,00000012.10,00000013.55,000000000460355,           826980,            23628,             9094,    51696998244.50,       10748244.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00062700.00,CE      ,00000011.90,00000013.60,00000011.45,00000012.95,000000000020615,            29155,              833,              535,     1828379574.00,         361074.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00062900.00,CE      ,00000013.20,00000013.20,00000010.75,00000012.15,000000000021770,            17675,              505,              316,     1111960787.00,         203287.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00062900.00,PE      ,00003771.80,00003771.80,00003677.55,00003677.55,000000000000070,              070,              002,              002,        4663727.25,         260727.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00063100.00,CE      ,00000013.30,00000013.30,00000009.80,00000011.50,000000000028945,            24745,              707,              330,     1561682137.75,         272637.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00063300.00,CE      ,00000013.35,00000013.35,00000009.40,00000010.55,000000000016345,            22960,              656,              283,     1453609568.25,         241568.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00063500.00,CE      ,00000010.05,00000010.65,00000008.95,00000010.20,000000000190190,           293335,             8381,             3964,    18629669313.50,        2896813.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00063700.00,CE      ,00000009.25,00000011.20,00000008.65,00000009.90,000000000010465,            12180,              348,              155,      775984198.50,         118198.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00063900.00,CE      ,00000012.75,00000012.75,00000008.20,00000009.55,000000000008155,             3010,              086,              041,      192365932.50,          26932.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00064100.00,CE      ,00000009.25,00000010.50,00000007.80,00000009.30,000000000005145,             5670,              162,              062,      363498423.75,          51423.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00064300.00,CE      ,00000007.70,00000009.05,00000007.65,00000008.85,000000000009030,             3360,              096,              082,      216074561.50,          26561.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00064500.00,CE      ,00000008.35,00000009.35,00000007.70,00000009.05,000000000117845,            65940,             1884,              867,     4253696924.75,         566924.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00064700.00,CE      ,00000007.90,00000008.90,00000007.30,00000008.45,000000000006300,             5810,              166,              050,      375952300.50,          45300.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00065500.00,CE      ,00000005.50,00000008.10,00000005.50,00000007.40,000000000014700,            22050,              630,              271,     1444429602.00,         154602.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00066500.00,CE      ,00000005.45,00000006.55,00000004.60,00000006.05,000000000128135,            58555,             1673,              924,     3894220384.25,         312884.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00067500.00,CE      ,00000004.70,00000005.95,00000004.50,00000005.70,000000000060130,            42000,             1200,              398,     2835219849.00,         219849.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00051500.00,PE      ,00000020.15,00000022.80,00000020.15,00000020.55,000000000001530,              150,              005,              003,        7728114.00,           3114.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00053500.00,PE      ,00000030.00,00000030.00,00000030.00,00000030.00,000000000000990,              150,              005,              001,        8029500.00,           4500.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00054100.00,PE      ,00000035.00,00000037.00,00000035.00,00000036.15,000000000001560,              990,              033,              027,       53594602.50,          35602.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00054300.00,PE      ,00000038.95,00000038.95,00000038.00,00000038.25,000000000001110,              870,              029,              024,       47274480.00,          33480.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00054500.00,PE      ,00000041.05,00000043.00,00000040.00,00000040.70,000000000001980,             1620,              054,              043,       88357090.50,          67090.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00054700.00,PE      ,00000047.50,00000047.50,00000044.35,00000045.00,000000000001080,              300,              010,              003,       16423797.00,          13797.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00055300.00,PE      ,00000056.20,00000058.40,00000056.20,00000056.85,000000000003510,              210,              007,              003,       11625105.00,          12105.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00055500.00,CE      ,00004000.00,00004050.00,00003945.00,00004035.10,000000000000390,              360,              012,              011,       21418164.00,        1438164.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00055500.00,PE      ,00000063.00,00000069.50,00000057.00,00000061.20,000000000024360,             7110,              237,              137,      395059566.00,         454566.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00056500.00,CE      ,00003100.00,00003160.00,00003060.00,00003124.95,000000000001170,              420,              014,              011,       25031016.00,        1301016.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00056500.00,PE      ,00000119.25,00000126.90,00000105.30,00000114.30,000000000093720,            16320,              544,              389,      924004090.50,        1924090.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057300.00,PE      ,00000199.90,00000213.45,00000181.60,00000200.25,000000000005370,             2910,              097,              072,      167327362.50,         584362.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057500.00,CE      ,00002254.65,00002276.40,00002130.00,00002191.50,000000000005880,             2520,              084,              074,      150465082.50,        5565082.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057500.00,PE      ,00000229.95,00000245.95,00000203.00,00000225.55,000000000110220,            44190,             1473,              868,     2551067748.00,       10142748.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00057700.00,CE      ,00002030.70,00002030.70,00002030.70,00002030.70,000000000000510,              030,              001,              001,        1791921.00,          60921.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00057700.00,PE      ,00000260.00,00000278.85,00000243.35,00000258.50,000000000007590,             3270,              109,              070,      189528232.50,         849232.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057900.00,CE      ,00001950.00,00001950.00,00001950.00,00001950.00,000000000000660,              090,              003,              001,        5386500.00,         175500.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00057900.00,PE      ,00000288.05,00000311.70,00000268.35,00000299.55,000000000006330,             3150,              105,              071,      183318534.00,         933534.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058300.00,CE      ,00001586.50,00001588.65,00001586.50,00001588.65,000000000000390,              060,              002,              002,        3593254.50,          95254.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00058500.00,CE      ,00001500.00,00001580.00,00001367.75,00001440.80,000000000015780,            20100,              670,              480,     1204894636.50,       29044636.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00058500.00,PE      ,00000420.00,00000476.70,00000395.55,00000442.65,000000000075120,            48030,             1601,              981,     2831273313.00,       21518313.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058700.00,CE      ,00001382.10,00001382.10,00001248.00,00001291.50,000000000002730,             8190,              273,              101,      491270917.50,       10517917.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00058700.00,PE      ,00000487.95,00000536.80,00000457.05,00000503.85,000000000005670,             6240,              208,              131,      369495756.00,        3207756.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058900.00,CE      ,00001248.55,00001300.25,00001119.95,00001185.15,000000000006960,            14070,              469,              218,      845644983.00,       16921983.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058900.00,PE      ,00000560.95,00000611.00,00000521.00,00000573.75,000000000010260,            14970,              499,              289,      890453761.50,        8720761.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059100.00,CE      ,00001100.00,00001163.15,00000999.95,00001053.25,000000000006660,             7470,              249,              157,      449335609.50,        7858609.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059100.00,PE      ,00000624.00,00000690.00,00000584.00,00000637.65,000000000008910,             8160,              272,              170,      487545838.50,        5289838.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059300.00,CE      ,00000993.00,00001054.80,00000892.20,00000932.80,000000000008460,             8910,              297,              193,      536800354.50,        8437354.50
